facility_id,ReportDate,AppointmentType,VA Facility Location,state,NewPatients
501GK,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SANTA FE VA CLINIC, NM",NM,45.9
501GM,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NORTHWEST METRO VA CLINIC, NM",NM,184.0
501GN,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TAOS VA CLINIC, NM",NM,0.0
502,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ALEXANDRIA VA MEDICAL CENTER, LA",LA,29.2
502GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JENNINGS, LA",LA,21.8
502GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DOUGLAS FOURNET VA CLINIC, LA",LA,37.8
502GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FORT JOHNSON VA CLINIC, LA",LA,25.4
502GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NATCHITOCHES VA CLINIC, LA",LA,24.0
502QB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LAFAYETTE CAMPUS B VA CLINIC, LA",LA,28.4
503,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JAMES E. VAN ZANDT VAMC, PA",PA,14.2
503GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JOHNSTOWN VA CLINIC, PA",PA,25.0
503GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DU BOIS, PA",PA,28.5
503GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"STATE COLLEGE VA CLINIC, PA",PA,34.0
504,2026-01-21,MENTAL HEALTH INDIVIDUAL,"THOMAS E. CREEK VAMC, TX",TX,7.0
504BY,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LUBBOCK VA CLINIC, TX",TX,4.3
504BZ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CLOVIS, NM",NM,2.0
506,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LTC CHARLES S KETTLES VAMC, MI",MI,28.4
506GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TOLEDO VA CLINIC, OH",OH,16.3
506GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FLINT VA CLINIC, MI",MI,45.7
506GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JACKSON, MI",MI,50.7
506GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MG OLIVER W. DILLARD VA CLINIC, MI",MI,39.3
506GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HOWELL VA CLINIC, MI",MI,41.0
506GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ADRIAN VA CLINIC, MI",MI,62.4
506GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FINDLAY VA CLINIC, OH",OH,21.0
508,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JOSEPH M. CLELAND ATLANTA VAMC, GA",GA,35.5
508GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"OAKWOOD VA CLINIC, GA",GA,7.0
508GH,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LAWRENCEVILLE VA CLINIC, GA",GA,69.0
508GI,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NEWNAN VA CLINIC, GA",GA,63.0
508GJ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BLAIRSVILLE VA CLINIC, GA",GA,16.1
508GK,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TRINKA DAVIS VETERANS VILLAGE, GA",GA,17.0
508GM,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PICKENS COUNTY VA CLINIC, GA",GA,13.5
508GN,2026-01-21,MENTAL HEALTH INDIVIDUAL,"COVINGTON VA CLINIC, GA",GA,38.0
508GP,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SOUTH COBB COUNTY VA CLINIC, GA",GA,34.5
508GS,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PIKE COUNTY VA CLINIC, GA",GA,46.3
508QC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HENDERSON MILL VA CLINIC, GA",GA,1.0
508QF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ATLANTA VA CLINIC, GA",GA,38.3
508QH,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SOUTH FULTON COUNTY VA CLINIC, GA",GA,48.5
508QJ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TUCKER VA CLINIC, GA",GA,33.7
509A0,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CHARLIE A. NORWOOD VA MEDICAL CENTER, GA - UPTOWN DIVISION",GA,45.5
509GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"AIKEN VA CLINIC, SC",SC,43.0
512,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BALTIMORE VA MEDICAL CENTER, MD",MD,25.1
512A5,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PERRY POINT VAMC, MD",MD,46.6
512GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CAMBRIDGE VA CLINIC, MD",MD,119.5
512GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"GLEN BURNIE VA CLINIC, MD",MD,84.0
512GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LOCH RAVEN VA MEDICAL CENTER, MD",MD,10.8
512GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"POCOMOKE CITY VA CLINIC, MD",MD,14.0
512GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"E. BALTIMORE COUNTY VA CLINIC, MD",MD,29.7
512GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FT MEADE VA CLINIC, MD",MD,59.4
512QA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BALTIMORE VA CLINIC, MD",MD,131.0
515,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BATTLE CREEK VA MEDICAL CENTER, MI",MI,15.8
515BY,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WYOMING VA CLINIC, MI",MI,37.1
515GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MUSKEGON VA CLINIC, MI",MI,51.0
515GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LANSING VA CLINIC, MI",MI,30.0
515GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BENTON HARBOR VA CLINIC, MI",MI,0.0
516,2026-01-21,MENTAL HEALTH INDIVIDUAL,"C.W. BILL YOUNG DEPT OF VAMC, FL",FL,15.0
516BZ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LEE COUNTY VA CLINIC, FL",FL,15.2
516GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SARASOTA, FL",FL,13.0
516GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ST. PETERSBURG VA CLINIC, FL",FL,42.0
516GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NORTH PINELLAS VA CLINIC, FL",FL,31.3
516GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BRADENTON VA CLINIC, FL",FL,39.0
516GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PORT CHARLOTTE VA CLINIC, FL",FL,42.3
516GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NAPLES VA CLINIC, FL",FL,13.5
516GH,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SEBRING VA CLINIC, FL",FL,48.5
517,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BECKLEY VA MEDICAL CENTER, WV",WV,18.6
517QA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PRINCETON VA CLINIC, WV",WV,39.0
518,2026-01-21,MENTAL HEALTH INDIVIDUAL,"EDITH NOURSE ROGERS VAMC, MA",MA,18.8
518GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LYNN VA CLINIC, MA",MA,30.0
518GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HAVERHILL VA CLINIC, MA",MA,49.0
519,2026-01-21,MENTAL HEALTH INDIVIDUAL,"GEORGE H. O'BRIEN, JR., VAMC, TX",TX,3.5
519HC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ABILENE VA CLINIC, TX",TX,0.0
519HF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"COLONEL AND MRS POWELL VA CLIN, TX",TX,14.0
520,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BILOXI VA MEDICAL CENTER, MS",MS,58.8
520BZ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PENSACOLA VA CLINIC, FL",FL,59.5
